7,7,0.65585,28.461,0.34609
17,17,1.6561,28.461,0.34609
27,27,2.6563,28.461,0.34609
37,37,3.6566,28.492,0.34922
47,47,4.6568,28.492,0.34922
57,57,5.6571,28.508,0.35078
67,67,6.6573,28.516,0.35156
77,77,7.6576,28.531,0.35313
87,87,8.6578,28.547,0.35469
97,97,9.6581,28.547,0.35469
107,107,10.658,28.57,0.35703
117,117,11.659,28.578,0.35781
127,127,12.659,28.586,0.35859
137,137,13.659,28.609,0.36094
147,147,14.659,28.633,0.36328
157,157,15.66,28.633,0.36328
167,167,16.66,28.648,0.36484
177,177,17.66,28.648,0.36484
187,187,18.66,28.672,0.36719
197,197,19.661,28.688,0.36875
207,207,20.661,28.688,0.36875
217,217,21.661,28.695,0.36953
227,227,22.661,28.695,0.36953
237,237,23.662,28.719,0.37188
247,247,24.662,28.711,0.37109
257,257,25.662,28.719,0.37188
267,267,26.662,28.742,0.37422
277,277,27.663,28.727,0.37266
287,287,28.663,28.75,0.375
297,297,29.663,28.742,0.37422
307,307,30.663,28.75,0.375
317,317,31.664,28.75,0.375
327,327,32.664,28.75,0.375
337,337,33.664,28.766,0.37656
347,347,34.664,28.766,0.37656
357,357,35.665,28.773,0.37734
367,367,36.665,28.773,0.37734
377,377,37.665,28.781,0.37812
387,387,38.665,28.781,0.37812
397,397,39.666,28.797,0.37969
407,407,40.666,28.789,0.37891
417,417,41.666,28.805,0.38047
427,427,42.666,28.805,0.38047
437,437,43.666,28.82,0.38203
447,447,44.667,28.805,0.38047
457,457,45.667,28.82,0.38203
467,467,46.667,28.82,0.38203
477,477,47.667,28.828,0.38281
487,487,48.668,28.836,0.38359
497,497,49.668,28.836,0.38359
507,507,50.668,28.844,0.38438
517,517,51.668,28.844,0.38438
527,527,52.669,28.852,0.38516
537,537,53.669,28.859,0.38594
547,547,54.669,28.867,0.38672
557,557,55.669,28.867,0.38672
567,567,56.67,28.883,0.38828
577,577,57.67,28.891,0.38906
587,587,58.67,28.891,0.38906
597,597,59.67,28.906,0.39062
607,607,60.671,28.914,0.39141
617,617,61.671,28.914,0.39141
627,627,62.671,28.93,0.39297
637,637,63.671,28.93,0.39297
647,647,64.672,28.938,0.39375
657,657,65.672,28.953,0.39531
667,667,66.672,28.969,0.39687
677,677,67.672,28.969,0.39687
687,687,68.673,28.992,0.39922
697,697,69.673,29.008,0.40078
707,707,70.673,28.992,0.39922
717,717,71.673,29.031,0.40313
727,727,72.674,29.023,0.40234
737,737,73.674,29.039,0.40391
747,747,74.674,29.039,0.40391
757,757,75.674,29.055,0.40547
767,767,76.675,29.062,0.40625
777,777,77.675,29.07,0.40703
787,787,78.675,29.086,0.40859
797,797,79.675,29.102,0.41016
807,807,80.676,29.109,0.41094
817,817,81.676,29.125,0.4125
827,827,82.676,29.133,0.41328
837,837,83.676,29.141,0.41406
847,847,84.677,29.148,0.41484
857,857,85.677,29.156,0.41563
867,867,86.677,29.172,0.41719
877,877,87.677,29.164,0.41641
887,887,88.678,29.188,0.41875
897,897,89.678,29.188,0.41875
907,907,90.678,29.188,0.41875
917,917,91.678,29.195,0.41953
927,927,92.679,29.211,0.42109
937,937,93.679,29.219,0.42188
947,947,94.679,29.219,0.42188
957,957,95.679,29.242,0.42422
967,967,96.68,29.234,0.42344
977,977,97.68,29.234,0.42344
987,987,98.68,29.242,0.42422
997,997,99.68,29.258,0.42578
1007,1007,100.68,29.258,0.42578
1017,1017,101.68,29.281,0.42812
1027,1027,102.68,29.258,0.42578
1037,1037,103.68,29.289,0.42891
1047,1047,104.68,29.289,0.42891
1057,1057,105.68,29.281,0.42812
1067,1067,106.68,29.281,0.42812
1077,1077,107.68,29.305,0.43047
1087,1087,108.68,29.312,0.43125
1097,1097,109.68,29.305,0.43047
1107,1107,110.68,29.305,0.43047
1117,1117,111.68,29.305,0.43047
1127,1127,112.68,29.312,0.43125
1137,1137,113.68,29.32,0.43203
1147,1147,114.68,29.336,0.43359
1157,1157,115.68,29.336,0.43359
1167,1167,116.68,29.344,0.43438
1177,1177,117.68,29.352,0.43516
1187,1187,118.69,29.359,0.43594
1197,1197,119.69,29.359,0.43594
1207,1207,120.69,29.367,0.43672
1217,1217,121.69,29.359,0.43594
1227,1227,122.69,29.375,0.4375
1237,1237,123.69,29.398,0.43984
1247,1247,124.69,29.406,0.44062
1257,1257,125.69,29.422,0.44219
1267,1267,126.69,29.422,0.44219
1277,1277,127.69,29.43,0.44297
1287,1287,128.69,29.438,0.44375
1297,1297,129.69,29.469,0.44688
1307,1307,130.69,29.477,0.44766
1317,1317,131.69,29.477,0.44766
1327,1327,132.69,29.484,0.44844
1337,1337,133.69,29.492,0.44922
1347,1347,134.69,29.484,0.44844
1357,1357,135.69,29.5,0.45
1367,1367,136.69,29.508,0.45078
1377,1377,137.69,29.531,0.45312
1387,1387,138.69,29.539,0.45391
1397,1397,139.69,29.539,0.45391
1407,1407,140.69,29.547,0.45469
1417,1417,141.69,29.555,0.45547
1427,1427,142.69,29.57,0.45703
1437,1437,143.69,29.562,0.45625
1447,1447,144.69,29.578,0.45781
1457,1457,145.69,29.586,0.45859
1467,1467,146.69,29.586,0.45859
1477,1477,147.69,29.578,0.45781
1487,1487,148.69,29.602,0.46016
1497,1497,149.69,29.602,0.46016
1507,1507,150.69,29.594,0.45937
1517,1517,151.69,29.617,0.46172
1527,1527,152.69,29.609,0.46094
1537,1537,153.69,29.609,0.46094
1547,1547,154.69,29.617,0.46172
1557,1557,155.69,29.617,0.46172
1567,1567,156.69,29.617,0.46172
1577,1577,157.69,29.617,0.46172
1587,1587,158.69,29.633,0.46328
1597,1597,159.7,29.641,0.46406
1607,1607,160.7,29.633,0.46328
1617,1617,161.7,29.648,0.46484
1627,1627,162.7,29.664,0.46641
1637,1637,163.7,29.68,0.46797
1647,1647,164.7,29.688,0.46875
1657,1657,165.7,29.688,0.46875
1667,1667,166.7,29.703,0.47031
1677,1677,167.7,29.719,0.47187
1687,1687,168.7,29.719,0.47187
1697,1697,169.7,29.719,0.47187
1707,1707,170.7,29.734,0.47344
1717,1717,171.7,29.734,0.47344
1727,1727,172.7,29.75,0.475
1737,1737,173.7,29.766,0.47656
1747,1747,174.7,29.773,0.47734
1757,1757,175.7,29.766,0.47656
1767,1767,176.7,29.773,0.47734
1777,1777,177.7,29.781,0.47813
1787,1787,178.7,29.766,0.47656
1797,1797,179.7,29.781,0.47813
1807,1807,180.7,29.773,0.47734
1817,1817,181.7,29.773,0.47734
1827,1827,182.7,29.773,0.47734
1837,1837,183.7,29.781,0.47813
1847,1847,184.7,29.797,0.47969
1857,1857,185.7,29.789,0.47891
